Occupation Name,Occupation URL,Tasks
Accountants and Auditors,https://www.onetonline.org/link/summary/13-2011.00,"['Confer with company officials about financial and regulatory matters.\nRelated occupations', 'Examine and evaluate financial and information systems, recommending controls to ensure system reliability and data integrity.\nRelated occupations', 'Inspect cash on hand, notes receivable and payable, negotiable securities, and canceled checks to confirm records are accurate.\nRelated occupations', 'Examine records and interview workers to ensure recording of transactions and compliance with laws and regulations.\nRelated occupations', 'Prepare, examine, or analyze accounting records, financial statements, or other financial reports to assess accuracy, completeness, and conformance to reporting and procedural standards.\nRelated occupations', 'Prepare adjusting journal entries.\nRelated occupations', 'Review accounts for discrepancies and reconcile differences.\nRelated occupations', 'Establish tables of accounts and assign entries to proper accounts.\nRelated occupations', 'Examine inventory to verify journal and ledger entries.\nRelated occupations', 'Analyze business operations, trends, costs, revenues, financial commitments, and obligations to project future revenues and expenses or to provide advice.\nRelated occupations', 'Report to management regarding the finances of establishment.\nRelated occupations', 'Develop, implement, modify, and document recordkeeping and accounting systems, making use of current computer technology.\nRelated occupations', 'Evaluate taxpayer finances to determine tax liability, using knowledge of interest and discount rates, annuities, valuation of stocks and bonds, and amortization valuation of depletable assets.\nRelated occupations', ""Examine whether the organization's objectives are reflected in its management activities, and whether employees understand the objectives.\nRelated occupations"", ""Audit payroll and personnel records to determine unemployment insurance premiums, workers' compensation coverage, liabilities, and compliance with tax laws.\nRelated occupations"", 'Review taxpayer accounts, and conduct audits on-site, by correspondence, or by summoning taxpayer to office.\nRelated occupations', 'Compute taxes owed and prepare tax returns, ensuring compliance with payment, reporting, or other tax requirements.\nRelated occupations', 'Advise clients in areas such as compensation, employee health care benefits, the design of accounting or data processing systems, or long-range tax or estate plans.\nRelated occupations', 'Direct activities of personnel engaged in filing, recording, compiling, and transmitting financial records.\nRelated occupations', 'Conduct pre-implementation audits to determine if systems and programs under development will work as planned.\nRelated occupations', 'Develop, maintain, or analyze budgets, preparing periodic reports that compare budgeted costs to actual costs.\nRelated occupations', 'Prepare, analyze, or verify annual reports, financial statements, and other records, using accepted accounting and statistical procedures to assess financial condition and facilitate financial planning.\nRelated occupations', 'Process invoices for payment.\nRelated occupations', 'Review data about material assets, net worth, liabilities, capital stock, surplus, income, or expenditures.\nRelated occupations']"
Actors,https://www.onetonline.org/link/summary/27-2011.00,"['Learn about characters in scripts and their relationships to each other to develop role interpretations.\nRelated occupations', 'Attend auditions and casting calls to audition for roles.\nRelated occupations', 'Sing or dance during dramatic or comedic performances.\nRelated occupations', 'Work with other crew members responsible for lighting, costumes, make-up, and props.\nRelated occupations', 'Tell jokes, perform comic dances, songs and skits, impersonate mannerisms and voices of others, contort face, and use other devices to amuse audiences.\nRelated occupations', 'Read from scripts or books to narrate action or to inform or entertain audiences, utilizing few or no stage props.\nRelated occupations', 'Promote productions using means such as interviews about plays or movies.\nRelated occupations', 'Prepare and perform action stunts for motion picture, television, or stage productions.\nRelated occupations', 'Write original or adapted material for dramas, comedies, puppet shows, narration, or other performances.\nRelated occupations', 'Introduce performances and performers to stimulate excitement and coordinate smooth transition of acts during events.\nRelated occupations', 'Dress in comical clown costumes and makeup, and perform comedy routines to entertain audiences.\nRelated occupations', 'Construct puppets and ventriloquist dummies, and sew accessory clothing, using hand tools and machines.\nRelated occupations', 'Perform original and stock tricks of illusion to entertain and mystify audiences, occasionally including audience members as participants.\nRelated occupations']"
Actuaries,https://www.onetonline.org/link/summary/15-2011.00,"['Construct probability tables for events such as fires, natural disasters, and unemployment, based on analysis of statistical data and other pertinent information.\nRelated occupations', 'Provide advice to clients on a contract basis, working as a consultant.\nRelated occupations', 'Determine equitable basis for distributing surplus earnings under participating insurance and annuity contracts in mutual companies.\nRelated occupations', 'Negotiate terms and conditions of reinsurance with other companies.\nRelated occupations', 'Provide expertise to help financial institutions manage risks and maximize returns associated with investment products or credit offerings.\nRelated occupations', 'Testify before public agencies on proposed legislation affecting businesses.\nRelated occupations', 'Determine policy contract provisions for each type of insurance.\nRelated occupations', 'Testify in court as expert witness or to provide legal evidence on matters such as the value of potential lifetime earnings of a person disabled or killed in an accident.\nRelated occupations', 'Explain changes in contract provisions to customers.\nRelated occupations', 'Manage credit and help price corporate security offerings.\nRelated occupations']"
Acupuncturists,https://www.onetonline.org/link/summary/29-1291.00,"['Treat patients using tools, such as needles, cups, ear balls, seeds, pellets, or nutritional supplements.\nRelated occupations', 'Analyze physical findings and medical histories to make diagnoses according to Oriental medicine traditions.\nRelated occupations', 'Maintain and follow standard quality, safety, environmental, and infection control policies and procedures.\nRelated occupations', 'Educate patients on topics, such as meditation, ergonomics, stretching, exercise, nutrition, the healing process, breathing, or relaxation techniques.\nRelated occupations', 'Dispense herbal formulas and inform patients of dosages and frequencies, treatment duration, possible side effects, and drug interactions.\nRelated occupations', 'Maintain detailed and complete records of health care plans and prognoses.\nRelated occupations', ""Assess patients' general physical appearance to make diagnoses.\nRelated occupations"", 'Formulate herbal preparations to treat conditions considering herbal properties, such as taste, toxicity, effects of preparation, contraindications, and incompatibilities.\nRelated occupations', 'Apply heat or cold therapy to patients using materials, such as heat pads, hydrocollator packs, warm compresses, cold compresses, heat lamps, or vapor coolants.\nRelated occupations', 'Consider Western medical procedures in health assessment, health care team communication, and care referrals.\nRelated occupations', 'Evaluate treatment outcomes and recommend new or altered treatments as necessary to further promote, restore, or maintain health.\nRelated occupations', 'Treat medical conditions, using techniques such as acupressure, shiatsu, or tuina.\nRelated occupations', 'Apply moxibustion directly or indirectly to patients using Chinese, non-scarring, stick, or pole moxa.\nRelated occupations']"
Acute Care Nurses,https://www.onetonline.org/link/summary/29-1141.01,"['Assess urgent and emergent health conditions, using both physiologically and technologically derived data.\nRelated occupations', ""Assess the impact of illnesses or injuries on patients' health, function, growth, development, nutrition, sleep, rest, quality of life, or family, social and educational relationships.\nRelated occupations"", 'Interpret information obtained from electrocardiograms (EKGs) or radiographs (x-rays).\nRelated occupations', 'Obtain specimens or samples for laboratory work.\nRelated occupations', 'Collaborate with patients to plan for future health care needs or to coordinate transitions and referrals.\nRelated occupations', 'Refer patients for specialty consultations or treatments.\nRelated occupations', 'Set up, operate, or monitor invasive equipment and devices, such as colostomy or tracheotomy equipment, mechanical ventilators, catheters, gastrointestinal tubes, and central lines.\nRelated occupations', 'Discuss illnesses and treatments with patients and family members.\nRelated occupations', 'Distinguish between normal and abnormal developmental and age-related physiological and behavioral changes in acute, critical, and chronic illness.\nRelated occupations', 'Collaborate with members of multidisciplinary health care teams to plan, manage, or assess patient treatments.\nRelated occupations', ""Assess the needs of patients' family members or caregivers.\nRelated occupations"", 'Perform administrative duties that facilitate admission, transfer, or discharge of patients.\nRelated occupations', 'Provide formal and informal education to other staff members.\nRelated occupations', 'Read current literature, talk with colleagues, and participate in professional organizations or conferences to keep abreast of developments in acute care.\nRelated occupations', 'Treat wounds or superficial lacerations.\nRelated occupations', ""Participate in patients' care meetings and conferences.\nRelated occupations"", 'Participate in the development of practice protocols.\nRelated occupations', ""Adjust settings on patients' assistive devices, such as temporary pacemakers.\nRelated occupations"", 'Order, perform, or interpret the results of diagnostic tests and screening procedures based on assessment results, differential diagnoses, and knowledge about age, gender and health status of clients.\nRelated occupations', 'Analyze the indications, contraindications, risk complications, and cost-benefit tradeoffs of therapeutic interventions.\nRelated occupations', 'Assist patients in organizing their health care system activities.\nRelated occupations']"
Adapted Physical Education Specialists,https://www.onetonline.org/link/summary/25-2059.01,"['Provide adapted physical education services to students with intellectual disabilities, autism, traumatic brain injury, orthopedic impairments, or other disabling condition.\nRelated occupations', ""Assess students' physical progress or needs.\nRelated occupations"", 'Assist in screening or placement of students in adapted physical education programs.\nRelated occupations', 'Evaluate the motor needs of individual students to determine their need for adapted physical education services.\nRelated occupations', 'Collaborate with other educational personnel to provide inclusive activities or programs for children with disabilities.\nRelated occupations', 'Maintain thorough student records to document attendance, participation, or progress, ensuring confidentiality of all records.\nRelated occupations', ""Advise education professionals of students' physical abilities or disabilities and the accommodations required to enhance their school performance.\nRelated occupations"", 'Communicate behavioral observations and student progress reports to students, parents, teachers, or administrators.\nRelated occupations', 'Write or modify individualized education plans (IEPs) for students with intellectual or physical disabilities.\nRelated occupations', 'Write reports to summarize student performance, social growth, or physical development.\nRelated occupations', 'Prepare lesson plans in accordance with individualized education plans (IEPs) and the functional abilities or needs of students.\nRelated occupations', 'Attend in-service training, workshops, or meetings to keep abreast of current practices or trends in adapted physical education.\nRelated occupations', 'Review adapted physical education programs or practices to ensure compliance with government or other regulations.\nRelated occupations', 'Request or order physical education equipment, following standard procedures.\nRelated occupations', 'Maintain inventory of instructional equipment, materials, or aids.\nRelated occupations']"
Adhesive Bonding Machine Operators and Tenders,https://www.onetonline.org/link/summary/51-9191.00,"['Perform test production runs and make adjustments as necessary to ensure that completed products meet standards and specifications.\nRelated occupations', 'Examine and measure completed materials or products to verify conformance to specifications, using measuring devices such as tape measures, gauges, or calipers.\nRelated occupations', 'Read work orders and communicate with coworkers to determine machine and equipment settings and adjustments and supply and product specifications.\nRelated occupations', 'Remove and stack completed materials or products, and restock materials to be joined.\nRelated occupations', 'Observe gauges, meters, and control panels to obtain information about equipment temperatures and pressures, or the speed of feeders or conveyors.\nRelated occupations', 'Maintain production records such as quantities, dimensions, and thicknesses of materials processed.\nRelated occupations', 'Remove jammed materials from machines and readjust components as necessary to resume normal operations.\nRelated occupations', 'Mount or load material such as paper, plastic, wood, or rubber in feeding mechanisms of cementing or gluing machines.\nRelated occupations', 'Transport materials, supplies, and finished products between storage and work areas, using forklifts.\nRelated occupations', 'Clean and maintain gluing and cementing machines, using solutions, lubricants, brushes, and scrapers.\nRelated occupations', 'Measure and mix ingredients to prepare glue.\nRelated occupations']"
"Administrative Law Judges, Adjudicators, and Hearing Officers",https://www.onetonline.org/link/summary/23-1021.00,"['Research and analyze laws, regulations, policies, and precedent decisions to prepare for hearings and to determine conclusions.\nRelated occupations', 'Review and evaluate data on documents, such as claim applications, birth or death certificates, or physician or employer records.\nRelated occupations', 'Recommend the acceptance or rejection of claims or compromise settlements according to laws, regulations, policies, and precedent decisions.\nRelated occupations', 'Rule on exceptions, motions, and admissibility of evidence.\nRelated occupations', 'Explain to claimants how they can appeal rulings that go against them.\nRelated occupations', 'Confer with individuals or organizations involved in cases to obtain relevant information.\nRelated occupations', 'Issue subpoenas and administer oaths in preparation for formal hearings.\nRelated occupations', 'Schedule hearings.\nRelated occupations', 'Conduct studies of appeals procedures in field agencies to ensure adherence to legal requirements and to facilitate determination of cases.\nRelated occupations']"
Administrative Services Managers,https://www.onetonline.org/link/summary/11-3012.00,"['Plan, administer, and control budgets for contracts, equipment, and supplies.\nRelated occupations', 'Hire and terminate clerical and administrative personnel.\nRelated occupations', 'Direct or coordinate the supportive services department of a business, agency, or organization.\nRelated occupations', ""Communicate with and provide guidance for external vendors and service providers to ensure the organization, department, or work unit's business needs are met.\nRelated occupations"", 'Develop operational standards and procedures for the work unit or department.\nRelated occupations', 'Establish work procedures or schedules to organize the daily work of administrative staff.\nRelated occupations', 'Learn to operate new office technologies as they are developed and implemented.\nRelated occupations', 'Manage paper or electronic filing systems by recording information, updating paperwork, or maintaining documents, such as attendance records or correspondence.\nRelated occupations', 'Meet with other departmental leaders to establish organizational goals, strategic plans, and objectives, as well as make decisions about personnel, resources, and space or equipment needs.\nRelated occupations', 'Oversee payroll functions, such as maintaining timekeeping information and processing and submitting payroll.\nRelated occupations', 'Read through contracts, regulations, and procedural guidelines to ensure comprehension and compliance.\nRelated occupations', 'Represent work unit at meetings or conferences and serve as liaison for requests or complaints.\nRelated occupations', 'Supervise administrative staff and provide training and orientation to new staff.\nRelated occupations']"
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",https://www.onetonline.org/link/summary/25-3011.00,"['Prepare materials and classrooms for class activities.\nRelated occupations', 'Instruct students individually and in groups, using various teaching methods, such as lectures, discussions, and demonstrations.\nRelated occupations', 'Plan and conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate.\nRelated occupations', 'Assign and grade class work and homework.\nRelated occupations', 'Maintain accurate and complete student records as required by laws or administrative policies.\nRelated occupations', 'Conduct classes, workshops, and demonstrations to teach principles, techniques, or methods in subjects, such as basic English language skills, life skills, and workforce entry skills.\nRelated occupations', 'Establish and enforce rules for behavior and procedures for maintaining order among the students for whom they are responsible.\nRelated occupations', 'Prepare and administer written, oral, and performance tests and issue grades in accordance with performance.\nRelated occupations', 'Prepare and implement remedial programs for students requiring extra help.\nRelated occupations', 'Prepare for assigned classes and show written evidence of preparation upon request of immediate supervisors.\nRelated occupations', 'Enforce administration policies and rules governing students.\nRelated occupations', 'Use computers, audio-visual aids, and other equipment and materials to supplement presentations.\nRelated occupations', 'Prepare objectives and outlines for courses of study, following curriculum guidelines or requirements of states and schools.\nRelated occupations', 'Prepare reports on students and activities as required by administration.\nRelated occupations', 'Review instructional content, methods, and student evaluations to assess strengths and weaknesses, and to develop recommendations for course revision, development, or elimination.\nRelated occupations', 'Register, orient, and assess new students according to standards and procedures.\nRelated occupations', 'Collaborate with other teachers and professionals in the development of instructional programs.\nRelated occupations', 'Attend staff meetings and serve on committees, as required.\nRelated occupations', ""Meet with other professionals to discuss individual students' needs and progress.\nRelated occupations"", 'Guide and counsel students with adjustment or academic problems or special academic interests.\nRelated occupations', 'Select, order, and issue books, materials, and supplies for courses or projects.\nRelated occupations', 'Attend professional meetings, conferences, and workshops to maintain and improve professional competence.\nRelated occupations', 'Confer with other staff members to plan and schedule lessons that promote learning, following approved curricula.\nRelated occupations', 'Plan and supervise class projects, field trips, visits by guest speakers, contests, or other experiential activities, and guide students in learning from those activities.\nRelated occupations', 'Provide students with disabilities with assistive devices, supportive technology, and assistance accessing facilities, such as restrooms.\nRelated occupations', 'Provide information, guidance, and preparation for the General Equivalency Diploma (GED) examination.\nRelated occupations', 'Select and schedule class times to ensure maximum attendance.\nRelated occupations', 'Train and assist tutors and community literacy volunteers.\nRelated occupations', 'Observe and evaluate the performance of other instructors.\nRelated occupations', 'Confer with leaders of government and community groups to coordinate student training or to find opportunities for students to fulfill curriculum requirements.\nRelated occupations', 'Participate in publicity planning, community awareness efforts, and student recruitment.\nRelated occupations', 'Advise students on internships, prospective employers, and job placement services.\nRelated occupations']"
