Occupation Name,Task Description,Importance,Verb-Noun Pairs
Accountants and Auditors,"Prepare detailed reports on audit findings.
Related occupations",90,"[('prepare', 'report')]"
Accountants and Auditors,"Report to management about asset utilization and audit results, and recommend changes in operations and financial activities.
Related occupations",89,"[('recommend', 'change')]"
Accountants and Auditors,"Collect and analyze data to detect deficient controls, duplicated effort, extravagance, fraud, or non-compliance with laws, regulations, and management policies.
Related occupations",88,"[('analyze', 'datum'), ('detect', 'control')]"
Accountants and Auditors,"Inspect account books and accounting systems for efficiency, effectiveness, and use of accepted accounting procedures to record transactions.
Related occupations",88,"[('inspect', 'book'), ('record', 'transaction')]"
Accountants and Auditors,"Supervise auditing of establishments, and determine scope of investigation required.
Related occupations",88,"[('determine', 'scope')]"
Accountants and Auditors,"Confer with company officials about financial and regulatory matters.
Related occupations",83,[]
Accountants and Auditors,"Examine and evaluate financial and information systems, recommending controls to ensure system reliability and data integrity.
Related occupations",83,"[('evaluate', 'system'), ('recommend', 'control'), ('ensure', 'integrity')]"
Accountants and Auditors,"Inspect cash on hand, notes receivable and payable, negotiable securities, and canceled checks to confirm records are accurate.
Related occupations",81,"[('inspect', 'cash'), ('cancel', 'check'), ('confirm', 'record')]"
Accountants and Auditors,"Examine records and interview workers to ensure recording of transactions and compliance with laws and regulations.
Related occupations",81,"[('examine', 'record'), ('interview', 'worker'), ('ensure', 'recording')]"
Accountants and Auditors,"Prepare, examine, or analyze accounting records, financial statements, or other financial reports to assess accuracy, completeness, and conformance to reporting and procedural standards.
Related occupations",81,"[('analyze', 'record'), ('assess', 'accuracy')]"
Accountants and Auditors,"Prepare adjusting journal entries.
Related occupations",81,"[('adjust', 'entry')]"
Accountants and Auditors,"Review accounts for discrepancies and reconcile differences.
Related occupations",81,[]
Accountants and Auditors,"Establish tables of accounts and assign entries to proper accounts.
Related occupations",79,"[('assign', 'entry')]"
Accountants and Auditors,"Examine inventory to verify journal and ledger entries.
Related occupations",79,"[('examine', 'inventory'), ('verify', 'journal')]"
Accountants and Auditors,"Analyze business operations, trends, costs, revenues, financial commitments, and obligations to project future revenues and expenses or to provide advice.
Related occupations",76,"[('project', 'revenue'), ('provide', 'advice')]"
Accountants and Auditors,"Report to management regarding the finances of establishment.
Related occupations",76,[]
Accountants and Auditors,"Develop, implement, modify, and document recordkeeping and accounting systems, making use of current computer technology.
Related occupations",75,"[('make', 'use')]"
Accountants and Auditors,"Evaluate taxpayer finances to determine tax liability, using knowledge of interest and discount rates, annuities, valuation of stocks and bonds, and amortization valuation of depletable assets.
Related occupations",71,"[('evaluate', 'finance'), ('determine', 'liability'), ('use', 'knowledge')]"
Accountants and Auditors,"Examine whether the organization's objectives are reflected in its management activities, and whether employees understand the objectives.
Related occupations",67,"[('understand', 'objective')]"
Accountants and Auditors,"Audit payroll and personnel records to determine unemployment insurance premiums, workers' compensation coverage, liabilities, and compliance with tax laws.
Related occupations",62,"[('determine', 'premium')]"
Accountants and Auditors,"Review taxpayer accounts, and conduct audits on-site, by correspondence, or by summoning taxpayer to office.
Related occupations",81,"[('conduct', 'audits'), ('summon', 'taxpayer')]"
Accountants and Auditors,"Compute taxes owed and prepare tax returns, ensuring compliance with payment, reporting, or other tax requirements.
Related occupations",79,"[('prepare', 'return'), ('ensure', 'compliance')]"
Accountants and Auditors,"Advise clients in areas such as compensation, employee health care benefits, the design of accounting or data processing systems, or long-range tax or estate plans.
Related occupations",78,[]
Accountants and Auditors,"Direct activities of personnel engaged in filing, recording, compiling, and transmitting financial records.
Related occupations",70,"[('transmit', 'record')]"
Accountants and Auditors,"Conduct pre-implementation audits to determine if systems and programs under development will work as planned.
Related occupations",67,"[('conduct', 'audits')]"
Accountants and Auditors,"Develop, maintain, or analyze budgets, preparing periodic reports that compare budgeted costs to actual costs.
Related occupations",Not available,"[('analyze', 'budget'), ('prepare', 'report'), ('compare', 'cost')]"
Accountants and Auditors,"Prepare, analyze, or verify annual reports, financial statements, and other records, using accepted accounting and statistical procedures to assess financial condition and facilitate financial planning.
Related occupations",Not available,"[('verify', 'report'), ('use', 'procedure'), ('assess', 'condition'), ('facilitate', 'planning')]"
Accountants and Auditors,"Process invoices for payment.
Related occupations",Not available,[]
Accountants and Auditors,"Review data about material assets, net worth, liabilities, capital stock, surplus, income, or expenditures.
Related occupations",Not available,"[('review', 'datum')]"
Actors,"Collaborate with other actors as part of an ensemble.
Related occupations",96,[]
Actors,"Portray and interpret roles, using speech, gestures, and body movements, to entertain, inform, or instruct radio, film, television, or live audiences.
Related occupations",93,"[('interpret', 'role'), ('use', 'speech'), ('instruct', 'radio')]"
Actors,"Work closely with directors, other actors, and playwrights to find the interpretation most suited to the role.
Related occupations",93,"[('find', 'interpretation')]"
Actors,"Perform humorous and serious interpretations of emotions, actions, and situations, using body movements, facial expressions, and gestures.
Related occupations",92,"[('perform', 'interpretation'), ('use', 'movement')]"
Actors,"Study and rehearse roles from scripts to interpret, learn and memorize lines, stunts, and cues as directed.
Related occupations",91,"[('memorize', 'line')]"
Actors,"Learn about characters in scripts and their relationships to each other to develop role interpretations.
Related occupations",86,"[('develop', 'interpretation')]"
Actors,"Attend auditions and casting calls to audition for roles.
Related occupations",85,"[('attend', 'audition'), ('cast', 'call')]"
Actors,"Sing or dance during dramatic or comedic performances.
Related occupations",84,[]
