Occupation Name,Task Description,Importance,Verb-Noun Pairs,Meaningful Verb-Noun Pairs,Unmeaningful Verb-Noun Pairs
Accountants and Auditors,"Confer with company officials about financial and regulatory matters.
Related occupations",83,[],[],[]
Accountants and Auditors,"Review accounts for discrepancies and reconcile differences.
Related occupations",81,[],[],[]
Accountants and Auditors,"Report to management regarding the finances of establishment.
Related occupations",76,[],[],[]
Accountants and Auditors,"Advise clients in areas such as compensation, employee health care benefits, the design of accounting or data processing systems, or long-range tax or estate plans.
Related occupations",78,[],[],[]
Accountants and Auditors,"Process invoices for payment.
Related occupations",Not available,[],[],[]
Actors,"Collaborate with other actors as part of an ensemble.
Related occupations",96,[],[],[]
Actors,"Sing or dance during dramatic or comedic performances.
Related occupations",84,[],[],[]
Actors,"Work with other crew members responsible for lighting, costumes, make-up, and props.
Related occupations",76,[],[],[]
Actuaries,"Determine policy contract provisions for each type of insurance.
Related occupations",50,[],[],[]
Acupuncturists,"Adhere to local, state, and federal laws, regulations, and statutes.
Related occupations",95,[],[],[]
Acupuncturists,"Identify correct anatomical and proportional point locations based on patients' anatomy and positions, contraindications, and precautions related to treatments, such as intradermal needles, moxibustion, electricity, guasha, or bleeding.
Related occupations",94,[],[],[]
Acupuncturists,"Educate patients on topics, such as meditation, ergonomics, stretching, exercise, nutrition, the healing process, breathing, or relaxation techniques.
Related occupations",89,[],[],[]
Acupuncturists,"Apply moxibustion directly or indirectly to patients using Chinese, non-scarring, stick, or pole moxa.
Related occupations",67,"[('apply', 'moxibustion')]",[],"[('apply', 'moxibustion')]"
Acute Care Nurses,"Document data related to patients' care, including assessment results, interventions, medications, patient responses, or treatment changes.
Related occupations",96,[],[],[]
Acute Care Nurses,"Diagnose acute or chronic conditions that could result in rapid physiological deterioration or life-threatening instability.
Related occupations",94,[],[],[]
Acute Care Nurses,"Interpret information obtained from electrocardiograms (EKGs) or radiographs (x-rays).
Related occupations",86,"[('radiograph', 'x'), ('radiograph', '-'), ('radiograph', 'ray')]",[],"[('radiograph', 'x'), ('radiograph', '-'), ('radiograph', 'ray')]"
Acute Care Nurses,"Obtain specimens or samples for laboratory work.
Related occupations",85,[],[],[]
Acute Care Nurses,"Discuss illnesses and treatments with patients and family members.
Related occupations",83,[],[],[]
Acute Care Nurses,"Distinguish between normal and abnormal developmental and age-related physiological and behavioral changes in acute, critical, and chronic illness.
Related occupations",83,[],[],[]
Acute Care Nurses,"Participate in patients' care meetings and conferences.
Related occupations",71,[],[],[]
Acute Care Nurses,"Participate in the development of practice protocols.
Related occupations",64,[],[],[]
Adapted Physical Education Specialists,"Assess students' physical progress or needs.
Related occupations",83,[],[],[]
Adapted Physical Education Specialists,"Assist in screening or placement of students in adapted physical education programs.
Related occupations",82,[],[],[]
Adapted Physical Education Specialists,"Request or order physical education equipment, following standard procedures.
Related occupations",62,[],[],[]
Adhesive Bonding Machine Operators and Tenders,"Fill machines with glue, cement, or adhesives.
Related occupations",87,[],[],[]
Adhesive Bonding Machine Operators and Tenders,"Remove and stack completed materials or products, and restock materials to be joined.
Related occupations",81,[],[],[]
"Administrative Law Judges, Adjudicators, and Hearing Officers","Determine existence and amount of liability according to current laws, administrative and judicial precedents, and available evidence.
Related occupations",92,[],[],[]
