Verb,Noun
generate,view
train,model
identify,threat
diagnose,component
use,network
have,allocation
use,classification
derive,intent
assign,ticket
support,agent
learn,strategy
achieve,safety
build,network
use,learning
charge,method
use,environment
orchestrate,container
learn,method
learn,device
support,learning
use,datum
perform,planning
build,method
overtake,method
use,estimate
use,network
generate,annotation
use,learning
use,interface
train,method
improve,function
learn,network
coordinate,service
use,balancing
route,method
accelerate,planning
use,learning
allocate,process
use,learning
use,learning
implement,operation
learn,method
route,method
determine,strategy
use,learning
save,training
realize,assembly
utilize,learning
evaluate,space
use,learning
edge,method
use,machine
use,speech
use,network
route,method
use,learning
answer,system
track,method
adjust,method
use,replay
drive,vehicle
distribute,method
train,character
use,datum
update,network
time,method
implement,learning
distribute,method
optimize,allocation
use,learning
recycle,method
diagnose,disease
use,learning
improve,safety
control,vehicle
drive,method
spray,method
pass,method
use,search
learn,method
utilize,learning
balance,method
allocate,resource
use,learning
object,method
follow,model
learn,agent
route,method
use,learning
plan,trajectory
cross,method
melt,method
learn,method
use,learning
thrust,distribution
thrust,method
distribute,method
use,learning
track,method
select,action
use,target
drive,method
read,method
use,primitive
follow,method
perform,fusion
control,agent
unload,method
build,management
build,control
use,learning
use,learning
search,target
block,consensus
edge,method
use,learning
display,report
use,technique
use,network
learn,pattern
learn,value
automate,machine
learn,workflow
control,process
drive,network
drive,simulation
predict,life
optimize,smoothness
learn,device
pick,operation
learn,maintenance
learn,device
optimize,frequency
use,word
use,learning
learn,device
learn,operation
take,work
extend,datum
generate,engine
learn,condition
use,intelligence
improve,health
learn,sharing
use,technique
learn,engine
learn,device
learn,program
use,model
define,solution
learn,device
learn,movement
learn,life
mold,condition
identify,individual
use,device
learn,adjustment
learn,optimization
operate,robot
deploy,service
optimize,time
learn,optimization
learn,command
select,image
use,classifier
use,device
implement,model
use,technology
learn,device
learn,process
operate,system
manage,process
involve,transaction
learn,localization
learn,device
control,machine
optimize,conveyance
learn,device
learn,operation
accelerate,design
integrate,machine
learn,device
learn,sequence
learn,sequence
use,learning
evaluate,visualization
learn,algorithm
process,datum
learn,device
learn,route
use,learning
improve,process
achieve,readiness
use,module
select,therapeutic
utilize,model
identify,insight
use,algorithm
control,device
deploy,algorithm
use,intelligence
generate,plan
include,plan
apply,learning
use,image
utilize,machine
implement,assistant
generate,path
utilize,machine
use,learning
use,model
learn,method
learn,command
determine,level
use,learning
predict,emergence
calibrate,model
deploy,structure
learn,platform
optimize,stimulation
use,learning
forecast,state
learn,datum
improve,performance
judge,necessity
use,learning
control,rehabilitation
exercise,device
update,model
train,machine
identify,text
leverage,feature
learn,operation
learn,classification
use,model
assess,obstruction
reduce,positive
use,feedback
analyze,image
learn,method
use,learning
validate,cell
identify,datum
learn,technique
identify,cloud
generate,datum
transmit,model
edge,device
use,learning
classify,information
process,image
use,model
learn,system
use,predictor
improve,accuracy
learn,device
learn,implementation
learn,training
apply,model
optimize,performance
learn,monitoring
share,model
use,interface
adjust,parameter
implement,learning
use,network
use,intelligence
provide,recommendation
determine,pipeline
protect,model
use,ensemble
learn,mechanism
generate,datum
build,information
use,server
learn,generation
use,model
configure,model
deploy,algorithm
learn,platform
learn,identification
manage,learning
involve,device
estimate,property
use,model
provide,service
develop,model
classify,image
implement,point
point,primitive
learn,method
guide,analysis
learn,prediction
target,acceptance
determine,context
use,intelligence
explain,model
use,planning
learn,method
execute,algorithm
use,model
learn,analysis
protect,privacy
detect,vulnerability
use,model
predict,property
enable,enhancement
determine,suitability
learn,predictor
decrease,uncertainty
use,learning
use,encryption
generate,truth
implement,reduction
detect,anomaly
learn,architecture
combine,machine
predict,state
learn,positioning
debug,issue
generate,datum
deploy,model
train,model
learn,system
utilize,model
validate,interface
learn,coach
protect,network
use,network
detect,suitability
use,model
measure,dimension
learn,method
learn,device
learn,condition
fault,device
fault,system
perform,estimation
provide,information
heat,system
learn,exploration
utilize,score
improve,distribution
use,image
generate,model
generate,parameter
render,image
use,learning
use,computer
learn,delivery
learn,method
translate,image
apply,algorithm
compute,score
use,machine
generate,model
augment,object
learn,system
generate,intelligence
use,cardiogram
embed,influence
distribute,content
issue,alert
learn,device
learn,method
utilize,pseudo
utilize,training
determine,rule
use,network
provide,recommendation
learn,mechanism
predict,likelihood
have,cancer
offer,service
utilize,model
process,datum
determine,usage
learn,operation
use,system
perform,point
use,intelligence
generate,plan
learn,mechanism
fault,resolution
learn,extraction
predict,output
generate,datum
provide,approach
use,model
update,model
learn,method
learn,method
learn,system
match,method
manage,model
prepare,datum
use,system
learn,abstraction
provide,service
use,analysis
incorporate,learning
detect,activity
utilize,model
utilize,model
predict,metric
control,content
protect,network
use,range
generate,application
learn,factory
learn,method
protect,model
select,datum
use,feedback
sense,evidence
use,learning
improve,model
remove,datum
use,intelligence
create,plan
recommend,technique
utilize,model
generate,effect
use,policy
learn,progress
support,beam
recommend,model
determine,state
validate,model
use,analysis
learn,platform
share,model
learn,surety
define,file
use,learning
train,system
utilize,adaptation
make,estimation
use,technique
make,recommendation
minimize,memory
create,model
reduce,power
train,model
utilize,model
predict,event
generate,alert
optimize,machine
update,table
use,network
learn,identification
detect,fraud
use,clip
use,image
facilitate,efficiency
compute,image
use,technique
provide,guidance
use,planner
learn,system
learn,generation
set,generation
learn,equipment
fault,system
use,learning
estimate,consumption
learn,method
rule,determination
characterize,failure
accelerate,machine
utilize,model
allocate,task
process,graph
mitigate,attack
train,model
learn,model
determine,condition
provide,function
learn,system
learn,method
apply,techniques
generate,datum
learn,interpretation
learn,pipeline
object,classification
use,model
optimize,placement
detect,indication
use,motion
weld,method
use,vision
learn,device
learn,datum
use,learning
learn,deployment
learn,processing
use,framework
optimize,process
use,model
optimize,utilization
use,model
utilize,model
predict,quantity
detect,object
use,model
learn,execution
use,learning
stack,device
implement,machine
learn,platform
utilize,model
predict,performance
generate,asset
learn,workflow
create,parameter
use,intelligence
create,plan
use,attribute
learn,stage
use,learning
determine,association
use,model
learn,system
use,score
replace,device
train,module
learn,value
optimize,parameter
use,intelligence
align,user
prevent,condition
use,model
enable,network
learn,assistance
compute,device
manage,model
learn,device
learn,classification
learn,algorithm
train,size
use,module
evict,track
learn,identification
personalize,experience
use,learning
generate,selection
learn,device
learn,prediction
drive,shaft
fault,device
assist,network
support,information
learn,method
embed,technique
learn,rule
provide,insight
drive,style
learn,system
take,action
analyze,trend
use,technique
combine,learning
provide,function
use,model
determine,compliance
use,model
determine,segmentation
learn,detection
encrypt,datum
recommend,configuration
predict,success
repair,asset
learn,tool
learn,method
learn,classification
implement,training
learn,device
analyze,rehabilitation
learn,identification
use,learning
recommend,content
manage,process
cause,analysis
generate,feature
accelerate,operation
learn,correction
provide,generation
select,model
classify,feature
learn,method
learn,algorithm
determine,confidence
update,model
establish,classifier
drive,learning
optimize,parameter
delay,effect
estimate,shape
augment,image
learn,selection
use,learning
determine,preference
cancel,stream
predict,correction
determine,image
determine,correction
learn,scalability
predict,rating
use,learning
improve,performance
use,technique
learn,policy
assess,obstruction
learn,forecasting
learn,classification
impute,value
follow,selection
improve,training
use,array
generate,plan
learn,management
segment,vessel
use,learning
learn,method
cause,device
learn,device
detect,cause
generate,model
use,framework
optimize,parameter
use,vision
visualize,risk
optimize,source
select,group
classify,datum
enhance,learning
learn,technique
process,representation
learn,device
use,computer
generate,deceleration
generate,device
analyze,language
use,system
improve,interaction
learn,method
utilize,model
determine,avatar
learn,prediction
train,model
learn,error
use,model
use,model
train,machine
group,sentence
learn,processing
use,model
use,model
classify,image
use,model
use,machine
learn,technique
use,learning
explore,recipe
use,model
use,prediction
learn,device
use,learning
learn,technique
use,proxy
enable,machine
learn,analysis
characterize,feature
enable,compression
learn,policy
validate,model
apply,machine
scale,resource
satisfy,agreement
use,learning
learn,system
improve,content
answer,system
use,machine
use,model
learn,flow
protect,right
add,anomaly
learn,training
learn,generation
analyze,integrity
use,machine
perform,plan
extract,definition
utilize,background
learn,classification
train,model
use,learning
protect,model
use,concept
use,model
distribute,tuning
use,workflow
increase,quality
use,function
guide,design
learn,policy
improve,optimization
predict,learning
use,model
train,system
display,discrepancy
generate,model
update,method
learn,policy
suggest,query
learn,classifier
provide,information
predict,transfer
predict,risk
evaluate,entity
use,algorithm
provide,information
incorporate,learning
use,apprenticeship
learn,system
use,learning
branch,conversation
enable,pulse
sequence,device
learn,network
deliver,item
use,prediction
train,model
infer,affinity
set,apparatus
polish,method
learn,prediction
leverage,model
learn,management
sequence,application
manage,policy
learn,analysis
train,system
use,processor
use,technique
compute,task
use,learning
create,specification
use,technique
use,learning
provide,evaluation
use,decomposition
train,model
construct,line
inspect,rail
cause,analysis
use,learning
use,radar
determine,approach
enable,inference
use,sampling
use,vision
construct,model
generate,model
provide,environment
train,method
learn,method
evaluate,object
construct,model
recover,datum
handle,performance
learn,system
learn,model
learn,framework
drive,capability
monitor,model
have,algorithm
build,concept
generate,datum
process,datum
make,decision
have,engine
provide,function
learn,model
store,program
build,model
build,extraction
determine,model
perform,learning
manage,right
use,model
improve,shaping
defect,method
learn,selection
adjust,method
determine,touch
use,model
use,learning
construct,system
use,learning
train,model
generate,detection
learn,coach
modify,network
adapt,program
use,prediction
generate,mask
train,network
trim,prediction
learn,device
learn,method
use,machine
learn,technique
estimate,energy
use,prediction
train,classifier
flow,method
use,model
provide,device
provide,program
determine,reputation
reinforce,method
learn,knowledge
learn,system
detect,attack
learn,system
learn,allocation
learn,datum
design,system
use,instruction
annotate,text
use,analysis
diagnose,disease
use,learning
generate,inference
use,model
characterize,tissue
utilize,machine
implement,model
utilize,word
learn,model
implement,classification
present,response
evaluate,characteristic
train,system
learn,search
use,algorithm
detect,attack
set,system
learn,device
set,device
spike,computation
use,search
identify,object
detect,file
learn,pattern
generate,strategy
determine,policy
automate,agent
use,system
train,analyzer
grade,method
preserve,privacy
learn,technique
diagnose,condition
route,datum
use,approach
learn,behavior
compute,access
evaluate,success
represent,activity
use,oracle
build,model
determine,fault
use,machine
learn,model
use,learning
forecast,quality
learn,system
use,learning
use,analysis
optimize,timing
generate,machine
learn,prediction
learn,optimization
generate,placement
use,network
analyze,image
use,model
use,learning
use,model
use,algorithm
manage,value
generate,datum
use,vehicle
predict,location
control,terminal
edge,method
compute,task
identify,endurance
control,vehicle
use,extraction
sense,edge
display,item
retain,value
use,inference
use,technique
use,learning
reduce,communication
predict,filter
learn,accelerator
use,model
determine,movement
learn,classifier
optimize,determination
learn,system
use,set
predict,timing
use,mining
process,information
answer,method
answer,device
contact,agent
learn,system
use,approximation
use,learning
reduce,occurrence
generate,simulation
inspect,program
support,algorithm
train,network
control,device
control,robot
learn,action
assist,method
optimize,decision
use,feedback
learn,detector
use,distillation
determine,sample
use,learning
update,multiplier
optimize,system
generate,datum
assess,disease
use,tomography
learn,system
utilize,model
learn,representation
reduce,storage
decode,information
train,network
use,signal
use,intelligence
learn,method
use,pattern
generate,representation
pose,detection
use,learning
pick,workpiece
use,datum
learn,representation
use,document
use,network
utilize,processing
use,technique
use,learning
make,decision
identify,behavior
use,agent
facilitate,integration
use,platform
learn,approach
provide,science
control,saturation
flow,method
learn,apparatus
detect,apparatus
learn,method
detect,method
use,model
use,mode
use,network
monitor,level
use,technique
predict,behavior
implement,language
learn,system
use,prediction
learn,prediction
extract,datum
learn,estimation
learn,device
image,device
learn,method
operate,aircraft
use,internet
learn,system
detect,distraction
object,detection
explain,model
use,learning
predict,task
use,model
decentralize,framework
use,protocol
determine,plan
use,machine
detect,obstacle
use,sensor
maintain,state
answer,generation
meet,requirement
object,recognition
object,model
learn,method
learn,prediction
conduct,communication
thwart,poisoning
learn,system
model,learning
use,architecture
provide,management
add,learning
add,control
learn,incident
defect,resolution
use,algorithm
fault,monitoring
detect,instance
use,sensor
use,machine
perform,rehabilitation
augment,intelligence
augment,support
use,vector
monitor,system
detect,obstacle
use,sensor
use,network
generate,feature
facilitate,processing
alternate,zone
predict,completion
use,model
infer,action
have,system
use,approach
learn,environment
validate,algorithm
perform,translation
boost,network
cause,engine
learn,preference
use,datum
predict,behavior
provide,recommendation
deploy,model
perform,adjustment
utilize,space
use,network
learn,correction
learn,detection
base,modeling
report,system
optimize,solution
predict,event
optimize,operation
determine,method
interpret,image
identify,opinion
use,learning
predict,status
use,learning
determine,relevance
assist,platform
learn,control
detect,accident
implement,protocol
use,intelligence
base,recognition
predict,performance
use,vector
learn,processing
use,learning
classify,information
estimate,boundary
apply,quality
sound,prediction
have,system
protect,system
calculate,apparatus
learn,method
learn,model
prepare,slide
maintain,health
use,phenotype
assign,professional
monitor,user
