,Combined Occupation,Best Match in Exposure Scores,Similarity Score
0,Chief executives,Chief Executives,1.0
1,General and operations managers,General and Operations Managers,1.0000000000000002
2,Advertising and promotions managers,Advertising and Promotions Managers,1.0000000000000002
3,Marketing managers,Marketing Managers,1.0000000000000002
4,Sales managers,Sales Managers,1.0
5,Public relations and fundraising managers,Public Relations Specialists,0.6524214552276155
6,Administrative services managers,Administrative Services Managers,1.0
7,Facilities managers,Facilities Managers,1.0
8,Computer and information systems managers,Computer and Information Systems Managers,1.0
9,Financial managers,Financial Managers,1.0
10,Compensation and benefits managers,Compensation and Benefits Managers,1.0000000000000002
11,Human resources managers,Human Resources Managers,1.0
12,Training and development managers,Training and Development Managers,1.0000000000000002
13,Industrial production managers,Industrial Production Managers,1.0
14,Purchasing managers,Purchasing Managers,0.9999999999999998
15,Transportation storage and distribution managers,"Transportation, Storage, and Distribution Managers",1.0
16,Farmers ranchers and other agricultural managers,"Farmers, Ranchers, and Other Agricultural Managers",1.0000000000000002
17,Construction managers,Construction Managers,1.0
18,Education and childcare administrators,"Education and Childcare Administrators, Preschool and Daycare",0.6970427211146035
19,Architectural and engineering managers,Architectural and Engineering Managers,1.0000000000000002
20,Food service managers,Food Service Managers,1.0
21,Funeral home managers,Funeral Home Managers,1.0
22,Entertainment and recreation managers,Recreation Workers,0.6002504272806192
23,Lodging managers,Lodging Managers,1.0
24,Medical and health services managers,Medical and Health Services Managers,1.0
25,Natural sciences managers,Natural Sciences Managers,1.0
26,Postmasters and mail superintendents,"Mail Clerks and Mail Machine Operators, Except Postal Service",0.3773887770369559
27,Property real estate and community association managers,"Property, Real Estate, and Community Association Managers",1.0000000000000002
28,Social and community service managers,Social and Community Service Managers,1.0000000000000002
29,Emergency management directors,Emergency Management Directors,1.0
30,Personal service managers all other,Food Service Managers,0.4559704320039509
31,Managers all other,Sales Managers,0.3696097589298694
32,Agents and business managers of artists performers and athletes,"Agents and Business Managers of Artists, Performers, and Athletes",1.0
33,Buyers and purchasing agents farm products,"Buyers and Purchasing Agents, Farm Products",1.0000000000000002
34,Wholesale and retail buyers except farm products,"Wholesale and Retail Buyers, Except Farm Products",1.0
35,Purchasing agents except wholesale retail and farm products,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1.0
36,Claims adjusters appraisers examiners and investigators,"Claims Adjusters, Examiners, and Investigators",0.892927966236575
37,Compliance officers,Compliance Officers,1.0000000000000002
38,Cost estimators,Cost Estimators,1.0000000000000002
39,Human resources workers,Human Resources Managers,0.8591305019818227
40,Compensation benefits and job analysis specialists,"Compensation, Benefits, and Job Analysis Specialists",1.0
41,Training and development specialists,Training and Development Specialists,1.0000000000000002
42,Logisticians,Logisticians,1.0
43,Project management specialists,Document Management Specialists,0.46431064302481045
44,Management analysts,Management Analysts,1.0
45,Meeting convention and event planners,"Meeting, Convention, and Event Planners",1.0
46,Fundraisers,Fundraisers,1.0
47,Market research analysts and marketing specialists,Market Research Analysts and Marketing Specialists,1.0000000000000002
48,Business operations specialists all other,Airfield Operations Specialists,0.4741048259618431
49,Accountants and auditors,Accountants and Auditors,1.0
50,Property appraisers and assessors,Appraisers and Assessors of Real Estate,0.5786192332757265
51,Budget analysts,Budget Analysts,1.0
52,Credit analysts,Credit Analysts,1.0000000000000002
53,Financial and investment analysts,Investment Fund Managers,0.45459915575256216
54,Personal financial advisors,Personal Financial Advisors,1.0000000000000002
55,Insurance underwriters,Insurance Underwriters,1.0
56,Financial examiners,Financial Examiners,1.0
57,Credit counselors and loan officers,Credit Counselors,0.7193326010255139
58,Tax examiners and collectors and revenue agents,"Tax Examiners and Collectors, and Revenue Agents",1.0000000000000002
59,Tax preparers,Tax Preparers,1.0000000000000002
60,Other financial specialists,Financial Managers,0.5411843840960389
61,Computer and information research scientists,Computer and Information Research Scientists,1.0000000000000002
62,Computer systems analysts,Computer Systems Analysts,1.0000000000000004
63,Information security analysts,Information Security Analysts,1.0
64,Computer programmers,Computer Programmers,1.0
65,Software developers,Web Developers,0.4837231443921335
