,Combined Occupation,Best Match in Exposure Scores,Similarity Score
26,Postmasters and mail superintendents,"Mail Clerks and Mail Machine Operators, Except Postal Service",0.3773887770369559
30,Personal service managers all other,Food Service Managers,0.4559704320039509
31,Managers all other,Sales Managers,0.3696097589298694
43,Project management specialists,Document Management Specialists,0.46431064302481045
48,Business operations specialists all other,Airfield Operations Specialists,0.4741048259618431
53,Financial and investment analysts,Investment Fund Managers,0.45459915575256216
65,Software developers,Web Developers,0.4837231443921335
68,Web and digital interface designers,Web Administrators,0.3531602668650403
95,Engineers all other,Sales Engineers,0.39211122589104425
105,Life scientists all other,Animal Scientists,0.3212147287554923
111,Physical scientists all other,Physical Therapists,0.4632431824163994
119,Miscellaneous social scientists and related workers,Healthcare Social Workers,0.37848647472368674
126,Other life physical and social science technicians,Food Science Technicians,0.4458131367477503
137,Social workers all other,Healthcare Social Workers,0.48639868886247145
143,Religious workers all other,"Directors, Religious Activities and Education",0.3745869973352715
149,Legal support workers all other,Paralegals and Legal Assistants,0.3476606946283765
161,Other educational instruction and library workers,Library Technicians,0.38692021989553205
162,Artists and related workers,Craft Artists,0.4313291677916558
187,Media and communication workers all other,Media Technical Directors/Managers,0.30577552494896343
199,Surgeons,Oral and Maxillofacial Surgeons,0.4902598206633145
210,Therapists all other,Physical Therapists,0.45992982661270304
217,Healthcare diagnosing or treating practitioners all other,Healthcare Social Workers,0.3003813879322077
232,Medical records specialists,Police Identification and Records Officers,0.3782086225236512
234,Miscellaneous health technologists and technicians,Veterinary Technologists and Technicians,0.47999589794897535
252,Firstline supervisors of security workers,Security Guards,0.3824983996566702
253,Firstline supervisors of protective service workers all other,First-Line Supervisors of Personal Service Workers,0.3817116091337499
267,School bus monitors,School Psychologists,0.3293755674784446
288,Other grounds maintenance workers,"Maintenance Workers, Machinery",0.40268687081442917
300,Other personal appearance workers,Personal Financial Advisors,0.30732936819011875
309,FirstLine supervisors of nonretail sales workers,First-Line Supervisors of Retail Sales Workers,0.42501142704450084
318,Sales representatives of services except advertising insurance financial services and travel,"Securities, Commodities, and Financial Services Sales Agents",0.4203369981707594
325,Sales and related workers all other,Sales Managers,0.39624120503679106
329,Communications equipment operators all other,"Communications Teachers, Postsecondary",0.4335092800916924
337,Financial clerks all other,Financial Managers,0.49231840009766253
354,Information and record clerks all other,Receptionists and Information Clerks,0.4307634529206974
