,Occupation Name,Exposure Score,Exposure Score * 100,Occupational Category,Women_Percentage_in_Group_Estimate,Women_Percentage_in_Group_MOE3,Women_Earnings_as_Percentage_of_Men_Estimate,Women_Median_Earnings_Estimate,Similarity Score
0,Audiovisual Equipment Installers and Repairers,0.0002103045938945023,0.02103045938945023,Audiovisual equipment installers and repairers,3.7,2.2,(X),55980.0,1.0000000000000002
1,Automotive Glass Installers and Repairers,0.0002053068623959957,0.02053068623959957,Automotive glass installers and repairers,3.0,2.3,(X),34300.0,1.0
2,"Helpers--Installation, Maintenance, and Repair Workers",0.0002053017760775311,0.02053017760775311,Other installation maintenance and repair workers,4.8,1.1,85.1,39800.0,0.8483538553303421
3,Machine Feeders and Offbearers,0.0002035782433059796,0.020357824330597962,Machine feeders and offbearers,46.1,6.4,75,32088.0,1.0000000000000002
4,"Packers and Packagers, Hand",0.0002034347200386431,0.02034347200386431,Packers and packagers hand,55.8,1.5,93,30831.0,1.0000000000000002
5,"Rotary Drill Operators, Oil and Gas",0.0002023952555107521,0.02023952555107521,Derrick rotary drill and service unit operators oil and gas,0.8,1.2,-,-,0.7793069106494891
6,Helpers--Extraction Workers,0.0001997099576932662,0.019970995769326618,Other extraction workers,5.1,2.8,(X),65873,0.6978625971985957
7,Farm Equipment Mechanics and Service Technicians,0.0001996921039867647,0.01996921039867647,Automotive service technicians and mechanics,1.6,0.3,91.9,43097,0.5889463138837495
8,Motorcycle Mechanics,0.0001994122411329523,0.01994122411329523,Automotive service technicians and mechanics,1.6,0.3,91.9,43097,0.2961659782523698
9,"Pourers and Casters, Metal",0.0001993453220595641,0.01993453220595641,Metal furnace operators tenders pourers and casters,11.6,4.2,(X),41226,0.7878447313201383
10,Avionics Technicians,0.0001977785103773943,0.019777851037739432,Avionics technicians,6.6,3.8,(X),54856,1.0000000000000002
11,Signal and Track Switch Repairers,0.0001970210704094052,0.01970210704094052,Control and valve installers and repairers,5.7,2.6,(X),50414,0.15836308150550843
12,"Coil Winders, Tapers, and Finishers",0.000194308805168164,0.0194308805168164,Furniture finishers,13.1,7.9,(X),38378,0.26939247528990057
13,"Grinding and Polishing Workers, Hand",0.0001904909650865374,0.019049096508653742,Crushing grinding polishing mixing and blending workers,10.4,2.1,(X),41344,0.5310459281043537
14,"Electrical and Electronics Installers and Repairers, Transportation Equipment",0.0001898072045020465,0.018980720450204647,Electrical and electronics installers and repairers transportation equipment,0.0,17.8,-,-,1.0000000000000002
15,"Pump Operators, Except Wellhead Pumpers",0.0001894995428280323,0.01894995428280323,Office machine operators except computer,54.6,6.7,(X),31554,0.2165114794613378
16,"Control and Valve Installers and Repairers, Except Mechanical Door",0.0001889425264137399,0.01889425264137399,Control and valve installers and repairers,5.7,2.6,(X),50414,0.7604851635361258
17,Foundry Mold and Coremakers,0.0001877585108061829,0.01877585108061829,Molders and molding machine setters operators and tenders metal and plastic,13.9,3.3,(X),36238,0.043881189047234766
18,Hoist and Winch Operators,0.0001874355343421634,0.01874355343421634,Conveyor dredge and hoist and winch operators,4.1,2.2,(X),28992,0.7342638438271176
19,Musical Instrument Repairers and Tuners,0.000187055232031228,0.018705523203122798,Precision instrument and equipment repairers,11.0,2.4,(X),46099,0.4339433634078929
20,Timing Device Assemblers and Adjusters,0.0001869942246016645,0.01869942246016645,Other assemblers and fabricators,34.6,0.9,87.6,37117,0.2709247144223384
21,Camera and Photographic Equipment Repairers,0.0001863547400264871,0.01863547400264871,Audiovisual equipment installers and repairers,3.7,2.2,(X),55980,0.34101050442608993
22,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",0.0001856719171477286,0.01856719171477286,Crushing grinding polishing mixing and blending workers,10.4,2.1,(X),41344,0.6084468941761096
23,Craft Artists,0.0001853087563170271,0.01853087563170271,Artists and related workers,41.0,2.2,68.5,42772,0.43119447830804225
24,Helpers--Electricians,0.0001847337812598964,0.01847337812598964,Electricians,2.0,0.3,82.9,50310,0.7739982853733887
25,Podiatrists,0.000184492282549196,0.0184492282549196,Podiatrists,23.8,6.6,(X),161157,1.0
26,Locksmiths and Safe Repairers,0.0001842879963733437,0.01842879963733437,Locksmiths and safe repairers,3.5,2.2,(X),32015,1.0000000000000002
27,"Paper Goods Machine Setters, Operators, and Tenders",0.0001835484044827315,0.01835484044827315,Paper goods machine setters operators and tenders,16.5,6.4,(X),32048,1.0000000000000002
28,"Electric Motor, Power Tool, and Related Repairers",0.0001835381903353753,0.01835381903353753,Electric motor power tool and related repairers,4.4,3.2,(X),29200,1.0
29,Upholsterers,0.0001835168612723849,0.01835168612723849,Upholsterers,23.3,5.8,(X),30689,1.0
30,"Mixing and Blending Machine Setters, Operators, and Tenders",0.0001833034641383371,0.018330346413833708,Textile machine setters operators and tenders,44.0,9.6,(X),31595,0.5223131768354532
31,"Radio, Cellular, and Tower Equipment Installers and Repairers",0.0001833021407700932,0.01833021407700932,Radio and telecommunications equipment installers and repairers,6.3,1.3,73.7,45547,0.6254460438297839
32,"Sawing Machine Setters, Operators, and Tenders, Wood",0.0001826861322604318,0.01826861322604318,Sawing machine setters operators and tenders wood,7.8,3.7,(X),41195,1.0000000000000002
33,Wellhead Pumpers,0.0001826044608252877,0.01826044608252877,Total,43.5,0.1,82,51400,0.0
34,Cabinetmakers and Bench Carpenters,0.0001825486553688729,0.01825486553688729,Cabinetmakers and bench carpenters,7.7,2.3,(X),27887,1.0
35,Sheet Metal Workers,0.0001825476554806379,0.018254765548063788,Sheet metal workers,4.0,1.0,(X),42055,1.0
36,Elevator and Escalator Installers and Repairers,0.000182367891961261,0.018236789196126098,Elevator and escalator installers and repairers,1.2,1.1,(X),35354,1.0000000000000002
37,Cargo and Freight Agents,0.0001819807865353138,0.01819807865353138,Cargo and freight agents,45.5,6.6,68,41851,1.0
38,Bicycle Repairers,0.0001817212861546442,0.01817212861546442,Home appliance repairers,5.2,2.5,(X),51113,0.21848254985863977
39,Electricians,0.0001816457638927475,0.01816457638927475,Electricians,2.0,0.3,82.9,50310,1.0
40,"Tool Grinders, Filers, and Sharpeners",0.0001813034521718487,0.01813034521718487,Tool and die makers,2.7,1.3,(X),38423,0.20938584173270264
41,Pipelayers,0.0001812886335619499,0.018128863356194992,Pipelayers,1.2,0.8,(X),50949,1.0
42,Landscaping and Groundskeeping Workers,0.0001811149769374618,0.01811149769374618,Landscaping and groundskeeping workers,5.6,0.5,87,29617,1.0
43,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",0.0001801019264948274,0.01801019264948274,Aircraft structure surfaces rigging and systems assemblers,20.1,9.4,(X),54013,1.0
44,"Plumbers, Pipefitters, and Steamfitters",0.0001798118435930604,0.017981184359306037,Plumbers pipefitters and steamfitters,1.4,0.3,(X),54722,1.0
45,"Molders, Shapers, and Casters, Except Metal and Plastic",0.0001798051990847383,0.01798051990847383,Molders shapers and casters except metal and plastic,13.6,3.3,(X),35364,1.0
46,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",0.0001797206301474056,0.01797206301474056,Woodworking machine setters operators and tenders except sawing,18.8,4.6,(X),35965,1.0000000000000002
47,"Paving, Surfacing, and Tamping Equipment Operators",0.0001787453433399049,0.017874534333990492,Construction equipment operators,2.6,0.5,85.7,46865,0.284763534130595
48,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",0.0001782518515879091,0.017825185158790908,Postal service mail sorters processors and processing machine operators,44.9,4.0,92.1,50992,1.0
49,"Coin, Vending, and Amusement Machine Servicers and Repairers",0.0001782481969762654,0.01782481969762654,Coin vending and amusement machine servicers and repairers,7.6,2.8,(X),32476,1.0
50,Tire Repairers and Changers,0.0001782460452655628,0.01782460452655628,Tire builders,5.4,3.3,(X),57568,0.42337831777777596
51,Bridge and Lock Tenders,0.0001781198917144817,0.017811989171448172,Other production equipment operators and tenders,9.7,6.0,(X),36584,0.17506923054859516
52,Non-Destructive Testing Specialists,0.0001778678019261639,0.01778678019261639,Other financial specialists,56.0,2.7,64.2,67224,0.16976162133524936
53,Data Entry Keyers,0.0001776735341607065,0.01776735341607065,Data entry keyers,75.1,1.7,90.3,38204,1.0000000000000002
54,"Insulation Workers, Floor, Ceiling, and Wall",0.0001774497545983154,0.01774497545983154,Insulation workers,3.4,2.7,(X),30753,0.526602974909169
55,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",0.0001773377023493887,0.01773377023493887,Extruding forming pressing and compacting machine setters operators and tenders,18.7,5.0,(X),32503,0.5705193779147445
56,Motorboat Mechanics and Service Technicians,0.0001770983737426637,0.01770983737426637,Automotive service technicians and mechanics,1.6,0.3,91.9,43097,0.5997073427551154
57,Nanotechnology Engineering Technologists and Technicians,0.0001770741908936444,0.017707419089364438,Electrical and electronic engineering technologists and technicians,10.0,2.4,(X),49612,0.526166484709798
58,"Shipping, Receiving, and Inventory Clerks",0.0001768326078695911,0.017683260786959108,Shipping receiving and inventory clerks,33.4,1.4,87.3,36061,1.0000000000000002
59,Water and Wastewater Treatment Plant and System Operators,0.0001765049503626172,0.01765049503626172,Water and wastewater treatment plant and system operators,3.8,1.0,(X),58317,1.0
60,Outdoor Power Equipment and Other Small Engine Mechanics,0.000176482064026365,0.0176482064026365,Small engine mechanics,1.6,1.5,(X),60846,0.6852373546066443
61,Travel Agents,0.0001763505513421746,0.01763505513421746,Travel agents,77.9,3.6,100.6,46567,0.9999999999999999
62,"Dispatchers, Except Police, Fire, and Ambulance",0.0001763228099109592,0.01763228099109592,Dispatchers except police fire and ambulance,54.2,2.7,79.6,41487,1.0000000000000002
