Occupational Category,Total_FullTime_Workers_Estimate,Total_FullTime_Workers_MOE3,Men_FullTime_Workers,Men_FullTime_Workers_MOE3,Women_FullTime_Workers,Women_FullTime_Workers_MOE3,Women_Percentage_in_Group_Estimate,Women_Percentage_in_Group_MOE3,Total_Median_Earnings_Estimate,Total_Median_Earnings_MOE3,Men_Median_Earnings_Estimate,Men_Median_Earnings_MOE3,Women_Median_Earnings_Estimate,Women_Median_Earnings_MOE3,Women_Earnings_as_Percentage_of_Men_Estimate,Women_Earnings_as_Percentage_of_Men_MOE3,Year,Women_Percentage_Out_Of_All_Women,Standardized_Occupational_Category,O*NET-SOC 2019 Code,O*NET-SOC 2019 Title,2018 SOC Code,2018 SOC Title,Standardized_Occupation_Name
Total,116990688,153439.0,66147177,93990.0,50843511,101961.0,43.5,0.1,57216,124,62668,122,51400,89,82,0.2,2022,102.61398336646126,total,,,,,
Management Business Science and Arts Occupations,54676424,171962.0,27633847,115289.0,27042577,89148.0,49.5,0.1,78838,190,92092,204,68211,182,74.1,0.2,2022,54.578184942110866,management business science and arts occupations,,,,,
Management Business and Financial Occupations,24699009,100051.0,13523426,66922.0,11175583,57886.0,45.2,0.2,84423,272,95730,414,74230,314,77.5,0.5,2022,22.554915376959457,management business and financial occupations,,,,,
Management Occupations,16424183,79054.0,9650086,57985.0,6774097,45952.0,41.2,0.2,87620,459,99144,844,76066,376,76.7,0.8,2022,13.671697001428464,management occupations,,,,,
Chief executives,1426995,21715.0,1019568,20327.0,407427,9935.0,28.6,0.7,159808,1967,174891,3852,136126,2804,77.8,2.2,2022,0.8222820686212486,chief executives,11-1011.00,Chief Executives,11-1011,Chief Executives,chief executives
Chief executives,1426995,21715.0,1019568,20327.0,407427,9935.0,28.6,0.7,159808,1967,174891,3852,136126,2804,77.8,2.2,2022,0.8222820686212486,chief executives,11-1011.03,Chief Sustainability Officers,11-1011,Chief Executives,chief executives
General and operations managers,1176602,19775.0,776480,15022.0,400122,10573.0,34.0,0.7,81426,648,88195,1753,71358,837,80.9,2,2022,0.80753888637933,general and operations managers,11-1021.00,General and Operations Managers,11-1021,General and Operations Managers,general and operations managers
Legislators,13390,2237.0,8069,1630.0,5321,1313.0,39.7,7.0,72234,5231,75576,10650,64237,13066,(X),(X),2022,0.010739010637816503,legislators,11-1031.00,Legislators,11-1031,Legislators,legislators
Advertising and promotions managers,51832,4501.0,22945,2856.0,28887,3050.0,55.7,3.7,86211,6494,108860,26298,78248,3012,71.9,18.9,2022,0.05830065782646219,advertising and promotions managers,11-2011.00,Advertising and Promotions Managers,11-2011,Advertising and Promotions Managers,advertising and promotions managers
Marketing managers,550021,13263.0,213970,7969.0,336051,10734.0,61.1,1.2,93501,1847,105433,3061,85327,1828,80.9,2.8,2022,0.6782287659930226,marketing managers,11-2021.00,Marketing Managers,11-2021,Marketing Managers,marketing managers
Sales managers,538413,12581.0,372095,11209.0,166318,7323.0,30.9,1.2,108275,2127,121666,2277,86475,3056,71.1,3.2,2022,0.33566825244509774,sales managers,11-2022.00,Sales Managers,11-2022,Sales Managers,sales managers
Public relations and fundraising managers,102024,5644.0,33508,3348.0,68516,4604.0,67.2,2.7,85602,2093,97298,6185,80813,2593,83.1,6.4,2022,0.13828116009408672,public relations and fundraising managers,,,,,
