Occupational Category,Total_FullTime_Workers_Estimate,Total_FullTime_Workers_MOE3,Men_FullTime_Workers,Men_FullTime_Workers_MOE3,Women_FullTime_Workers,Women_FullTime_Workers_MOE3,Percent of Women in Each Occupation 2022,Women_Percentage_in_Group_MOE3,Total_Median_Earnings_Estimate,Total_Median_Earnings_MOE3,Men_Median_Earnings_Estimate,Men_Median_Earnings_MOE3,Women_Median_Earnings_Estimate,Women_Median_Earnings_MOE3,Women_Earnings_as_Percentage_of_Men_Estimate,Women_Earnings_as_Percentage_of_Men_MOE3,Year,Women_Percentage_Out_Of_All_Women,Standardized_Occupational_Category,O*NET-SOC 2019 Code,O*NET-SOC 2019 Title,2018 SOC Code,2018 SOC Title,Standardized_Occupation_Name,Total Employed_2023,Percent of Women in Each Occupation 2023,Occupation Name,Exposure Score,Exposure Score * 100,main category,Percentage Change,AI_Exposure_Level,Normalized_Women_Percentage_Out_Of_All_Women,Recalculated_Women_Percentage_Out_Of_All_Women
Total,116990688,153439.0,66147177,93990.0,50843511,101961.0,43.5,0.1,57216,124,62668,122,51400.0,89,82,0.2,2022,102.61398336646126,total 16 years and over,,,,,,161037.0,46.9,,0.0,,,3.3999999999999986,,0.17927019278444425,1.0
Management Business Science and Arts Occupations,54676424,171962.0,27633847,115289.0,27042577,89148.0,49.5,0.1,78838,190,92092,204,68211.0,182,74.1,0.2,2022,54.57818494211087,management professional and related occupations,,,,,,70275.0,51.8,,0.0,,management business science and arts occupations,2.299999999999997,,0.09534998462592757,0.5318786304903295
Management Business Science and Arts Occupations,54676424,171962.0,27633847,115289.0,27042577,89148.0,49.5,0.1,78838,190,92092,204,68211.0,182,74.1,0.2,2022,54.57818494211087,management professional and related occupations,,,,,,39731.0,56.5,,0.0,,management business science and arts occupations,7.0,,0.09534998462592757,0.5318786304903295
Management Business and Financial Occupations,24699009,100051.0,13523426,66922.0,11175583,57886.0,45.2,0.2,84423,272,95730,414,74230.0,314,77.5,0.5,2022,22.554915376959457,management business and financial operations occupations,,,,,,30544.0,45.7,,0.0,,management business science and arts occupations,0.5,,0.03940422050885821,0.2198035261569564
Management Occupations,16424183,79054.0,9650086,57985.0,6774097,45952.0,41.2,0.2,87620,459,99144,844,76066.0,376,76.7,0.8,2022,13.671697001428464,management occupations,,,,,,20906.0,41.9,,0.0,,management business science and arts occupations,0.6999999999999957,,0.023884929487472364,0.13323424890936428
Chief executives,1426995,21715.0,1019568,20327.0,407427,9935.0,28.6,0.7,159808,1967,174891,3852,136126.0,2804,77.8,2.2,2022,0.8222820686212486,chief executives,11-1011.00,Chief Executives,11-1011,Chief Executives,chief executives,1780.0,30.6,Chief Executives,5.840374446191628e-05,0.0058403744461916,management business science and arts occupations,2.0,Low,0.0014365553322151132,0.00801335297241766
Chief executives,1426995,21715.0,1019568,20327.0,407427,9935.0,28.6,0.7,159808,1967,174891,3852,136126.0,2804,77.8,2.2,2022,0.8222820686212486,chief executives,11-1011.03,Chief Sustainability Officers,11-1011,Chief Executives,chief executives,1780.0,30.6,Chief Sustainability Officers,4.056846133481386e-05,0.0040568461334813,management business science and arts occupations,2.0,Low,0.0014365553322151132,0.00801335297241766
General and operations managers,1176602,19775.0,776480,15022.0,400122,10573.0,34.0,0.7,81426,648,88195,1753,71358.0,837,80.9,2,2022,0.80753888637933,general and operations managers,11-1021.00,General and Operations Managers,11-1021,General and Operations Managers,general and operations managers,1359.0,37.1,General and Operations Managers,6.97152276292539e-05,0.0069715227629253,management business science and arts occupations,3.1000000000000014,Low,0.0014107984807992,0.007869676820705792
Legislators,13390,2237.0,8069,1630.0,5321,1313.0,39.7,7.0,72234,5231,75576,10650,64237.0,13066,(X),(X),2022,0.0107390106378165,legislators,11-1031.00,Legislators,11-1031,Legislators,legislators,12.0,,,0.0,,management business science and arts occupations,,,1.8761424556341667e-05,0.00010465445629826784
Advertising and promotions managers,51832,4501.0,22945,2856.0,28887,3050.0,55.7,3.7,86211,6494,108860,26298,78248.0,3012,71.9,18.9,2022,0.0583006578264621,advertising and promotions managers,11-2011.00,Advertising and Promotions Managers,11-2011,Advertising and Promotions Managers,advertising and promotions managers,49.0,,Advertising and Promotions Managers,0.0001087949931441,0.0108794993144138,management business science and arts occupations,,Medium-Low,0.0001018532740385343,0.0005681550984942799
