Occupational Category,Total_FullTime_Workers_Estimate,Total_FullTime_Workers_MOE3,Men_FullTime_Workers,Men_FullTime_Workers_MOE3,Women_FullTime_Workers,Women_FullTime_Workers_MOE3,Women_Percentage_in_Group_Estimate,Women_Percentage_in_Group_MOE3,Total_Median_Earnings_Estimate,Total_Median_Earnings_MOE3,Men_Median_Earnings_Estimate,Men_Median_Earnings_MOE3,Women_Median_Earnings_Estimate,Women_Median_Earnings_MOE3,Women_Earnings_as_Percentage_of_Men_Estimate,Women_Earnings_as_Percentage_of_Men_MOE3,Year,Women_Percentage_Out_Of_All_Women,Standardized_Occupational_Category,Major Group,Minor Group,Broad Group,Detailed Occupation,Occupation Name,Standardized_Occupation_Name,Combined Group,O*NET-SOC 2019 Code,O*NET-SOC 2019 Title,2018 SOC Code,2018 SOC Title
Total,116990688,153439,66147177,93990,50843511,101961,43.5,0.1,57216,124,62668,122,51400,89,82,0.2,2022,102.61398336646126,total,,,,,,,,,,,
Management Business Science and Arts Occupations,54676424,171962,27633847,115289,27042577,89148,49.5,0.1,78838,190,92092,204,68211,182,74.1,0.2,2022,54.578184942110866,management business science and arts occupations,,,,,,,,,,,
Management Business and Financial Occupations,24699009,100051,13523426,66922,11175583,57886,45.2,0.2,84423,272,95730,414,74230,314,77.5,0.5,2022,22.554915376959457,management business and financial occupations,,,,,,,,,,,
Management Occupations,16424183,79054,9650086,57985,6774097,45952,41.2,0.2,87620,459,99144,844,76066,376,76.7,0.8,2022,13.671697001428464,management occupations,11-0000,,,,Management Occupations,management occupations,11-0000,,,,
Chief executives,1426995,21715,1019568,20327,407427,9935,28.6,0.7,159808,1967,174891,3852,136126,2804,77.8,2.2,2022,0.8222820686212486,chief executives,,,11-1010,,Chief Executives,chief executives,11-1010,,,,
Chief executives,1426995,21715,1019568,20327,407427,9935,28.6,0.7,159808,1967,174891,3852,136126,2804,77.8,2.2,2022,0.8222820686212486,chief executives,,,,11-1011,Chief Executives,chief executives,11-1011,11-1011.00,Chief Executives,11-1011,Chief Executives
Chief executives,1426995,21715,1019568,20327,407427,9935,28.6,0.7,159808,1967,174891,3852,136126,2804,77.8,2.2,2022,0.8222820686212486,chief executives,,,,11-1011,Chief Executives,chief executives,11-1011,11-1011.03,Chief Sustainability Officers,11-1011,Chief Executives
General and operations managers,1176602,19775,776480,15022,400122,10573,34,0.7,81426,648,88195,1753,71358,837,80.9,2,2022,0.807538886,general and operations managers,,,11-1020,,General and Operations Managers,general and operations managers,11-1020,,,,
General and operations managers,1176602,19775,776480,15022,400122,10573,34,0.7,81426,648,88195,1753,71358,837,80.9,2,2022,0.807538886,general and operations managers,,,,11-1021,General and Operations Managers,general and operations managers,11-1021,11-1021.00,General and Operations Managers,11-1021,General and Operations Managers
Legislators,13390,2237,8069,1630,5321,1313,39.7,7,72234,5231,75576,10650,64237,13066,(X),(X),2022,0.010739010637816503,legislators,,,11-1030,,Legislators,legislators,11-1030,,,,
Legislators,13390,2237,8069,1630,5321,1313,39.7,7,72234,5231,75576,10650,64237,13066,(X),(X),2022,0.010739010637816503,legislators,,,,11-1031,Legislators,legislators,11-1031,11-1031.00,Legislators,11-1031,Legislators
Advertising and promotions managers,51832,4501,22945,2856,28887,3050,55.7,3.7,86211,6494,108860,26298,78248,3012,71.9,18.9,2022,0.058300658,advertising and promotions managers,,,Nov-10,,Advertising and Promotions Managers,advertising and promotions managers,Nov-10,,,,
Advertising and promotions managers,51832,4501,22945,2856,28887,3050,55.7,3.7,86211,6494,108860,26298,78248,3012,71.9,18.9,2022,0.058300658,advertising and promotions managers,,,,Nov-11,Advertising and Promotions Managers,advertising and promotions managers,Nov-11,11-2011.00,Advertising and Promotions Managers,Nov-11,Advertising and Promotions Managers
Marketing managers,550021,13263,213970,7969,336051,10734,61.1,1.2,93501,1847,105433,3061,85327,1828,80.9,2.8,2022,0.6782287659930226,marketing managers,,,,Nov-21,Marketing Managers,marketing managers,Nov-21,11-2021.00,Marketing Managers,Nov-21,Marketing Managers
Sales managers,538413,12581,372095,11209,166318,7323,30.9,1.2,108275,2127,121666,2277,86475,3056,71.1,3.2,2022,0.33566825244509774,sales managers,,,,Nov-22,Sales Managers,sales managers,Nov-22,11-2022.00,Sales Managers,Nov-22,Sales Managers
Public relations and fundraising managers,102024,5644,33508,3348,68516,4604,67.2,2.7,85602,2093,97298,6185,80813,2593,83.1,6.4,2022,0.13828116009408672,public relations and fundraising managers,,,Nov-30,,Public Relations and Fundraising Managers,public relations and fundraising managers,Nov-30,,,,
Administrative services managers,55365,4357,15535,2308,39830,3525,71.9,3.4,69447,5656,86262,4603,64527,2969,74.8,5.3,2022,0.080386167,administrative services managers,,,,Nov-12,Administrative Services Managers,administrative services managers,Nov-12,11-3012.00,Administrative Services Managers,Nov-12,Administrative Services Managers
Facilities managers,112151,5739,89784,5193,22367,2520,19.9,2,75700,2618,79014,2401,63293,3541,80.1,5.4,2022,0.045141787,facilities managers,,,,Nov-13,Facilities Managers,facilities managers,Nov-13,11-3013.00,Facilities Managers,Nov-13,Facilities Managers
