Major Group,Minor Group,Broad Group,Detailed Occupation,Occupation Name
,11-1000,,,top executives
,11-2000,,,advertising marketing promotions public relations and sales managers
,,11-2020,,marketing and sales managers
,,,11-2032,public relations managers
,,,11-2033,fundraising managers
,11-3000,,,operations specialties managers
,,11-3010,,administrative services and facilities managers
,11-9000,,,other management occupations
,,,11-9031,education and childcare administrators preschool and daycare
,,,11-9032,education administrators kindergarten through secondary
,,,11-9033,education administrators postsecondary
,,,11-9039,other education administrators
,,,11-9071,gambling managers
,,,11-9072,entertainment and recreation managers except gambling
,,11-9170,,personal service managers
,,11-9190,,miscellaneous managers
,13-1000,,,business operations specialists
,,13-1020,,buyers and purchasing agents
,,,13-1031,claims adjusters examiners and investigators
,,,13-1032,insurance appraisers auto damage
,,,13-1071,human resources specialists
,,,13-1074,farm labor contractors
,,,13-1075,labor relations specialists
,,13-1080,,logisticians and project management specialists
,,13-1190,,miscellaneous business operations specialists
,13-2000,,,financial specialists
,,,13-2022,appraisers of personal and business property
,,,13-2023,appraisers and assessors of real estate
,,13-2050,,financial analysts and advisors
,,,13-2054,financial risk specialists
,,,13-2071,credit counselors
,,,13-2072,loan officers
,,13-2080,,tax examiners collectors and preparers and revenue agents
,,13-2090,,miscellaneous financial specialists
,15-1200,,,computer occupations
,,15-1210,,computer and information analysts
,,,15-1231,computer network support specialists
,,,15-1232,computer user support specialists
,,15-1240,,database and network administrators and architects
,,,15-1242,database administrators
,,,15-1243,database architects
,,15-1250,,software and web developers programmers and testers
,,15-1290,,miscellaneous computer occupations
,15-2000,,,mathematical science occupations
,,15-2050,,data scientists
,,,15-2051,data scientists
,,15-2090,,miscellaneous mathematical science occupations
,17-1000,,,architects surveyors and cartographers
,,17-1010,,architects except naval
,,,17-1021,cartographers and photogrammetrists
,,,17-1022,surveyors
,17-2000,,,engineers
,,,17-2071,electrical engineers
,,,17-2072,electronics engineers except computer
,,,17-2111,health and safety engineers except mining safety engineers and inspectors
,,,17-2112,industrial engineers
,,17-2190,,miscellaneous engineers
,17-3000,,,drafters engineering technicians and mapping technicians
,,17-3010,,drafters
,,,17-3012,electrical and electronics drafters
,,,17-3013,mechanical drafters
,,17-3020,,engineering technologists and technicians except drafters
,,,17-3021,aerospace engineering and operations technologists and technicians
,,,17-3022,civil engineering technologists and technicians
,,,17-3024,electromechanical and mechatronics technologists and technicians
,,,17-3025,environmental engineering technologists and technicians
,,,17-3026,industrial engineering technologists and technicians
,,,17-3027,mechanical engineering technologists and technicians
,,,17-3028,calibration technologists and technicians
,19-1000,,,life scientists
,,,19-1011,animal scientists
,,,19-1012,food scientists and technologists
,,,19-1013,soil and plant scientists
,,,19-1021,biochemists and biophysicists
,,,19-1022,microbiologists
,,,19-1023,zoologists and wildlife biologists
,,,19-1029,other biological scientists
,,,19-1031,conservation scientists
,,,19-1032,foresters
,,,19-1041,epidemiologists
,,,19-1042,medical scientists except epidemiologists
,,19-1090,,miscellaneous life scientists
,19-2000,,,physical scientists
,,,19-2011,astronomers
,,,19-2012,physicists
,,,19-2031,chemists
,,,19-2032,materials scientists
,,19-2040,,environmental scientists and geoscientists
,,,19-2042,geoscientists except hydrologists and geographers
,,,19-2043,hydrologists
,,19-2090,,miscellaneous physical scientists
,19-3000,,,social scientists and related workers
,,19-3030,,psychologists
,,,19-3032,industrialorganizational psychologists
,,,19-3091,anthropologists and archeologists
,,,19-3092,geographers
,,,19-3093,historians
,,,19-3094,political scientists
,,,19-3099,other social scientists and related workers
,19-4000,,,life physical and social science technicians
,,,19-4012,agricultural technicians
,,,19-4013,food science technicians
,,,19-4042,environmental science and protection technicians including health
,,,19-4043,geological technicians except hydrologic technicians
,,,19-4044,hydrologic technicians
